scenario_id,priority,related_requirements,given,when,then,implementation_area,verification,evidence,initial_status
VS2-SEC-065,MUST_PASS,"ER-06, ER-10","A major VS2 allow, deny, missing-context, policy-unavailable, RLS, and egress failure is exercised.","The behavior is observed through CLI JSON/text, HTTP API, and UI.","Machine-readable schemas, exit/status codes, user messages, evidence_refs, policy_decision_refs, and audit_refs remain semantically consistent.",CLI/API/UI response contracts and error catalog.,Golden contract tests and browser proof.,"CLI/API payloads, screenshots/DOM snapshot, schema validation, matching references.",NOT_RUN
VS2-SEC-066,MUST_PASS,ER-07,"VS2 generates access, denial, policy update, RLS anomaly, egress, approval, connector, and rollback events.",Audit verification and deliberate tampering run.,"Required events are append-only/tamper-evident, queryable by tenant/action/decision, and modification/removal is detected.","Audit event contract, hash-chain/checkpoint integration, verifier.",Audit contract tests and tamper fixture.,"Event inventory, verification success, tamper detection failure evidence.",NOT_RUN
VS2-SEC-067,MUST_PASS,ER-07; IR-10,"An operator monitors Postgres, OPA, egress control, policy denials, RLS anomalies, retries, and audit integrity.","Status, metrics, logs, and traces are queried.","Health/readiness distinguishes component states, metrics are actionable and tenant-safe, and alerts can identify failure without exposing protected data.","Health/readiness, metrics, trace IDs, operator status surface.",Component fault-injection and observability contract tests.,"Status JSON/dashboard snapshot, metrics samples, alert events, leak scan.",NOT_RUN
VS2-SEC-068,MUST_PASS,"ER-01, ER-02; IR-11",VS2 database/policy/runtime changes are deployed over the existing local scaffold and VS1 data.,"Forward migration, compatibility run, failed migration, and rollback are exercised.",The smallest compatible adapter path preserves existing artifacts/evidence/claims/ontology/audit; rollback is deterministic; no destructive migration runs without approval.,"Postgres store adapter, migration versions, compatibility layer, rollback scripts.",Fresh and upgrade-path integration tests with checksums and existing VS0/VS1 fixtures.,"Before/after object counts/hashes, regression reports, rollback transcript, no data loss.",NOT_RUN
VS2-SEC-069,MUST_PASS,"ER-01, ER-02, ER-03, ER-10",A new evaluator uses the documented local/on-prem VS2 quickstart without live provider credentials.,"They start CornerStone, Postgres, OPA, and the local egress test harness.",Readiness succeeds only when required components and active policy/RLS inventory are valid; a tenant-isolation and egress-deny smoke flow completes.,"Compose/local profile, migrations, seed policy, health/readiness, quickstart verifier.",Executable clean-environment quickstart.,"Command transcript with exit codes, component versions, policy revision, RLS inventory, generated IDs, elapsed time.",NOT_RUN
VS2-SEC-070,MUST_PASS,"ER-07, ER-10, ER-11",A feature/milestone report claims VS2 completion.,The native scenario verifier and gate run against the exact code/tree state.,All applicable MUST_PASS and REGRESSION rows have concrete evidence; human rows are explicit; report metadata binds to verified revision/tree; no production/live overclaim is present.,"Native `cornerstone scenario verify vs2-policy-tenancy-egress`, gate, Make target, release evidence package.","Scenario report schema validation, gate command, report review.","Machine-readable report, command transcript, evidence manifest/hashes, base/final revision metadata, verdict.",NOT_RUN
VS2-SEC-R01,REGRESSION,"ER-11; CS-REG-001, CS-REG-002",VS2 changes are applied.,The existing VS0 Artifact→Search→Evidence→Claim→Action→Audit gates run.,The VS0 local product loop remains green and evidence/action safety is unchanged.,Compatibility adapters and regression suite.,Run existing VS0 EVUX/runtime/operator gates.,Existing scenario reports with exit code 0 and no weakened assertions.,NOT_RUN
VS2-SEC-R02,REGRESSION,"ER-11; CS-REG-016, CS-REG-018",VS2 changes are applied over the accepted local VS1 ontology slice.,The VS1 suggest/review/promote suite runs.,Ontology suggestions remain draft until explicit promotion; search/profile/claim/action/audit integration remains green under tenant policy.,VS1 data adapter and policy-aware ontology services.,Run `make verify-vs1-ontology` plus cross-tenant ontology tests.,"VS1 report, zero auto-promotions/cross-tenant promotions, policy refs.",NOT_RUN
VS2-SEC-R03,REGRESSION,"CS-NS-003, CS-REG-006",Personal context exists in a user's personal namespace.,An organization request is answered or acted on without explicit promotion/permission.,"Personal context is not used, cited, searched, or exposed.",Namespace policy and retrieval guards.,Known-canary personal→organization leak test.,"Zero personal refs/canary, denial or insufficient-evidence response.",NOT_RUN
VS2-SEC-R04,REGRESSION,CS-REG-007,Organization context exists and the user opens a personal workspace.,A related personal query/action runs without an allowed reference.,Organization context is not used or exposed.,Reverse namespace guards.,Organization→personal canary leak test.,"Zero organization refs/canary, policy/audit outcome.",NOT_RUN
VS2-SEC-R05,REGRESSION,"CS-NS-008, CS-REG-008",Product-learning or benchmark processes run.,They request raw personal/organization truth without opt-in/approved redaction.,Access is denied and no hidden memory/truth rewrite occurs.,Product-learning namespace policy.,Policy/data-access test.,"Denied decision, zero source rows and memory writes.",NOT_RUN
VS2-SEC-R06,REGRESSION,"CS-REG-013, CS-SEC-007","A prompt/document claims the agent now has admin, tenant, connector, tool, or egress authority.",The agent processes it.,"Authority remains defined by trusted role, workspace, mission, connector capability, and policy state.",Prompt-injection and authority guards.,Red-team fixture suite.,"Zero authority changes/tool calls/egress, blocked-attempt audit.",NOT_RUN
VS2-SEC-R07,REGRESSION,"CS-EXT-014, CS-EXT-015, CS-REG-014",An Agent Pack or product handler tries to use provider credentials or direct provider networking.,Validation/runtime executes.,The pack/path is blocked or quarantined; ConnectorHub remains the provider boundary.,"Pack validation, import/runtime restrictions, egress policy.",Static and runtime direct-provider tests.,"Validation failure/quarantine, zero credential/network exposure.",NOT_RUN
VS2-SEC-R08,REGRESSION,"ER-05, CS-AUTO-020",A developer adds a direct repository/database/writeback path that skips Workflow/Action or service policy.,CI and integration tests run.,"The bypass is rejected by architecture lint, service guard, RLS, or runtime enforcement and cannot mutate state.","Boundary lint, repository interfaces, RLS.",Deliberate bypass fixture/test.,"Gate failure or runtime denial, unchanged state, audit/anomaly evidence.",NOT_RUN
VS2-SEC-R09,REGRESSION,CS-REG-017,"A new tool, model, workflow, policy entrypoint, connector capability, or table is introduced.",Audit contract tests run.,All required critical events and references remain present; coverage cannot silently drop.,Audit event manifest and coverage gate.,Mutation test that omits an event.,"Failing omission proof, passing corrected event inventory.",NOT_RUN
VS2-SEC-R10,REGRESSION,CS-REG-018,"Configuration is missing, reset, partially upgraded, or a new workspace/tenant is created.",Security defaults initialize.,"Egress is denied, policy is default-deny, app role cannot bypass RLS, high-risk actions require approval, and shell/host access remains blocked.",Secure defaults and bootstrap validation.,Fresh/reset/partial-config integration tests.,"Default config snapshot, denial suite, RLS/role inventory.",NOT_RUN
VS2-SEC-R11,REGRESSION,"IR-07, CS-REG-018",Policy or membership is revoked after an allow was cached.,Requests continue during cache/bundle transition.,No stale allow produces access or side effect beyond the frozen revocation bound.,Cache and revision guard.,High-concurrency revocation test.,"Decision revision sequence, zero post-revocation successes.",NOT_RUN
VS2-SEC-R12,REGRESSION,CS-SEC-008,"Cross-tenant, malformed, secret-bearing, and denied requests generate errors/logs/traces/screenshots/reports.",Leak scanners and snapshot tests run.,"No secret, protected payload, raw credential, or foreign-tenant identifier appears unnecessarily.",Central redaction and safe error schemas.,Canary/secret scanner across generated outputs.,Zero scanner findings or reviewed allowlist with justification.,NOT_RUN
VS2-SEC-R13,REGRESSION,"IR-04, CS-REG-018",A new durable tenant-bearing table or partition is added without RLS/policy coverage.,Schema CI runs.,The build fails before merge/release.,Schema/RLS inventory gate.,Negative migration fixture.,Expected failing gate and remediation evidence.,NOT_RUN
VS2-SEC-R14,REGRESSION,IR-02,Tenant tests run in parallel or retry after failures.,"Test fixtures, pools, caches, queues, and reports share infrastructure.",Test state remains isolated; one test/tenant cannot contaminate another or create false PASS.,"Unique test tenant IDs, cleanup, deterministic concurrency harness.",Parallel/repeat test execution.,"Repeatable report hashes/semantics, zero cross-fixture canaries.",NOT_RUN
VS2-SEC-R15,REGRESSION,"CS-PROD-001, CS-REG-019","Policy, tenant, and connector controls are added.",A normal user navigates the product.,"Users still experience one CornerStone product; repo/engine names are not required mental models, while admin security detail remains available.",Product navigation and progressive-disclosure UX.,Automated nav/DOM check plus human review in H06.,"UI map/screenshots, absence of required repo-name workflow.",NOT_RUN
VS2-SEC-R16,REGRESSION,"CS-SEC-020, CS-REG-020","Reports, README, UI, or release metadata describe VS2.",A reviewer compares claims with evidence.,"Local/integration proof is not described as production, live-provider, penetration-tested, or human-accepted without separate evidence.",Claim vocabulary guard and release-report validator.,Static/report lint and evidence manifest review.,Zero overclaim findings; explicit scope/human-required table.,NOT_RUN
VS2-SEC-H01,HUMAN_REQUIRED,Project stop-and-ask gate,"VS2 proposes an actual OPA production dependency, Postgres/RLS tenant model, authz semantics, and migration of durable state.",Implementation is ready to start.,"JiYong/Tars or authorized owner approves the architecture, dependency, migration scope, rollback plan, and security ownership before code changes that cross the gate.",Architecture/ADR and approval workflow.,Human architecture/security review.,"Dated APPROVE/REJECT record with approved scope, exceptions, rollback owner, and dependency decision.",HUMAN_REQUIRED
VS2-SEC-H02,HUMAN_REQUIRED,"ER-01, ER-02; production gate",A production-like deployment contains multiple real or representative tenants.,An independent security reviewer performs tenant-isolation and policy-bypass testing.,"No cross-tenant data/metadata leak or policy bypass is found, or findings are remediated and re-tested.",Production-like environment and security test plan.,Independent penetration/security review.,"Signed report, test scope/topology, findings, remediation, re-test evidence.",HUMAN_REQUIRED
VS2-SEC-H03,HUMAN_REQUIRED,ER-04; production authn gate,A real OIDC/SSO or enterprise identity provider is selected.,"Groups, roles, attributes, revocation, and tenant memberships are mapped.",Authorized stakeholders confirm mappings and revocation behavior; no synthetic-fixture claim is promoted to real IdP readiness.,Identity provider integration and mapping policy.,Approved real-IdP test.,Redacted login/mapping/revocation transcript and owner/security approval.,HUMAN_REQUIRED
VS2-SEC-H04,HUMAN_REQUIRED,ER-03; production network gate,"The target production/on-prem network topology, DNS, proxy, firewall, service mesh, and sandbox are available.",A network/security operator verifies deny-by-default and approved exceptions outside the local harness.,All undeclared paths are blocked and approved paths are traceable under the real topology.,Production network controls.,Network control review and egress test.,"Topology diagram, firewall/proxy/network-policy evidence, packet/log transcript, approval.",HUMAN_REQUIRED
VS2-SEC-H05,HUMAN_REQUIRED,ER-08; live provider gate,Authorized live ConnectorHub credentials and provider permissions are available.,A low-risk read-only or explicitly approved test action is executed.,"Credential custody, declared capability, source policy, product approval, egress, result, evidence, and audit boundaries hold without secret exposure.",Live ConnectorHub integration.,Approved live-provider rehearsal.,"Redacted provider transcript, approval, ConnectorHub/CornerStone audit refs, result/evidence refs.",HUMAN_REQUIRED
VS2-SEC-H06,HUMAN_REQUIRED,"ER-06, CS-SEC-005, CS-REG-019","A human operator uses tenant/workspace switching, denial guidance, policy admin, egress dry-run, approval, and audit surfaces.",The operator completes representative tasks.,"They accept or reject whether boundaries, causes, risks, and recovery paths are understandable and not misleading.",Admin/operator UX.,Human usability/trust review.,"ACCEPT/REJECT note, screenshots/recording, task outcomes, confusion/issues list.",HUMAN_REQUIRED
VS2-SEC-H07,HUMAN_REQUIRED,IR-11; production migration gate,"Real production-like data, backup tooling, retention rules, and rollback authority are available.",The approved VS2 migration and rollback/restore drill runs.,"Data/evidence/audit integrity, tenant ownership, RLS policies, and service recovery meet the approved plan.",Production migration/backup/restore process.,Human-supervised non-destructive rehearsal.,"Signed transcript, before/after counts/hashes, RLS/policy inventory, restore/rollback result.",HUMAN_REQUIRED
